example_id                                         | status  | run_time        |
./spec/models/company_spec.rb[1:3:3]               | passed  | 0.01032 seconds |
./spec/models/network_site_spec.rb[1:1:1]          | passed  | 0.00097 seconds |
./spec/models/network_site_spec.rb[1:1:2]          | passed  | 0.00081 seconds |
./spec/models/network_site_spec.rb[1:1:3]          | passed  | 0.00131 seconds |
./spec/models/network_site_spec.rb[1:1:4]          | passed  | 0.00095 seconds |
./spec/models/network_site_spec.rb[1:1:5]          | passed  | 0.00089 seconds |
./spec/models/network_site_spec.rb[1:2:1]          | passed  | 0.00373 seconds |
./spec/models/network_site_spec.rb[1:2:2]          | passed  | 0.00209 seconds |
./spec/models/network_site_spec.rb[1:3:1]          | passed  | 0.00308 seconds |
./spec/models/network_site_spec.rb[1:3:2]          | passed  | 0.00287 seconds |
./spec/models/network_site_spec.rb[1:3:3]          | passed  | 0.00929 seconds |
./spec/models/sheet_spec.rb[1:1:1]                 | passed  | 0.00085 seconds |
./spec/models/sheet_spec.rb[1:1:2]                 | passed  | 0.00086 seconds |
./spec/models/sheet_spec.rb[1:1:3]                 | passed  | 0.00105 seconds |
./spec/models/sheet_spec.rb[1:2:1]                 | passed  | 0.00913 seconds |
./spec/models/sheet_spec.rb[1:2:2]                 | passed  | 0.00812 seconds |
./spec/models/sheet_spec.rb[1:3:1]                 | passed  | 0.00243 seconds |
./spec/models/sheet_spec.rb[1:3:2]                 | passed  | 0.00209 seconds |
./spec/models/sheet_spec.rb[1:3:3]                 | passed  | 0.00221 seconds |
./spec/models/workbook_spec.rb[1:1:1]              | passed  | 0.00085 seconds |
./spec/models/workbook_spec.rb[1:1:2]              | passed  | 0.00118 seconds |
./spec/models/workbook_spec.rb[1:2:1]              | passed  | 0.00698 seconds |
./spec/models/workbook_spec.rb[1:2:2]              | passed  | 0.00185 seconds |
./spec/models/workbook_spec.rb[1:3:1]              | passed  | 0.00205 seconds |
./spec/models/workbook_spec.rb[1:3:2]              | passed  | 0.00148 seconds |
